HyperMinHash-java,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
392279243d685894c02ad89d2a1afe654c892022,343.02,84047(18),22.23,0(0),7.75,0(0),5.15,0(0),4.37,0(0)
571310d047385eac080da4bc3bc6470ad3c42a1d,336.7,84047(18),3.26,0(0),2.8,0(0),2.7,0(0),2.69,0(0)
d72f0bce88a8e843ce105b39af11f55cdc6502c1,339.68,84047(18),2.91,0(0),3.84,0(0),2.79,0(0),3.96,0(0)
91e8aa7b453b4503e8735272054e026c3e6277f2,335.3,84047(18),12.98,0(0),6.65,0(0),9.23,0(0),6.87,0(0)
7cf78aa1e8836c013ecd22f8a5471185588a56e9,333.22,84047(18),12.06,0(0),3.19,0(0),3.2,0(0),4.36,0(0)
0e3939df527c2717818c5b257fae623f775a905e,337.16,84043(18),310.55,84039(14),129.2,17(14),90.61,84017(9),27.28,12(9)
8f21ff80015f1d7f1137b5983533b34d4e0f44a6,335.81,84043(18),3.76,0(0),3.52,0(0),4,0(0),2.84,0(0)
1e9bfa30d63a2c1590145ea6d154b465ce6c48e4,339.56,84043(18),2.84,0(0),2.82,0(0),3.06,0(0),3,0(0)
fe27f42dbb13ab636a8e636b058ebce5d9aa34d5,330.22,84043(18),2.86,0(0),2.8,0(0),2.79,0(0),3.48,0(0)
d32f21cee2f99cad4df16c1e6d3764748ea0ac26,365.45,84043(18),12.23,0(0),9.71,0(0),5.3,0(0),4.39,0(0)
1a78ac649745c46a15d53508bddf790346d0ccbf,329.68,84043(18),2.9,0(0),2.81,0(0),3.9,0(0),2.87,0(0)
b8e6a616197f4f945dfe09ab90b67fd8d40e76e3,322.78,84043(18),2.9,0(0),2.78,0(0),2.73,0(0),2.78,0(0)
cfff89f27bd398fc0504ccee47cd4ad14606235a,332.23,84043(18),6.84,0(0),2.77,0(0),5.42,0(0),2.77,0(0)
c5bbf2b5e00752998f27d3dd412bab55ae4e73c8,332.98,84043(18),3.24,0(0),5.54,0(0),3.17,0(0),2.75,0(0)
ce0b9d6f7fa0433faef5592d0ff901e7abe416ca,333.86,84043(18),2.73,0(0),2.87,0(0),5.48,0(0),2.78,0(0)
06141d95150f0faa819fcc2fc96cb1de69c430d8,323.91,84043(18),2.89,0(0),2.81,0(0),4.81,0(0),2.79,0(0)
56691cd1c949dd3ddd76f60eef6547354211b5aa,327.89,84043(18),14.58,0(0),4.62,0(0),4.48,0(0),4.38,0(0)
2fc674aa31708740918f0d25f0d7f33335d65bc2,330.81,84043(18),2.91,0(0),3.28,0(0),2.61,0(0),6.79,0(0)
38f51752eb93bc84d0b8c36b95c7b01a6f19228f,337.51,84043(18),2.85,0(0),3.13,0(0),2.78,0(0),2.8,0(0)
6dda11831cc1270dabcd4ab421335926872007cc,341.41,84043(18),2.8,0(0),2.79,0(0),3.41,0(0),4.35,0(0)
5aa0ba972913c87db26ccb78e6419c27cd237b94,336.81,84043(18),5.31,0(0),4.38,0(0),5.64,0(0),4.48,0(0)
23de55ef0a63226ae688859bd1c826e58d063443,356.64,84043(18),328.3,84043(18),152.03,21(18),312.52,84043(18),136.53,21(18)
5e2886f493fc9ae57615d4ddd977f2f372303b97,331.73,84043(18),12.16,0(0),6.38,0(0),6.44,0(0),5.57,0(0)
f700313d1ec80ed55bfd0dd7e8240a868f7d6c7a,332.64,84043(18),3.72,0(0),4.13,0(0),4,0(0),3.21,0(0)
acd938cb69212d4cd61821f9d0b3b6bb3543bc30,334.25,84043(18),2.71,0(0),2.81,0(0),3,0(0),2.7,0(0)
3237d18a8bd528abd068f22572ff1b9310da0c6c,333.55,84043(18),2.97,0(0),5.27,0(0),3.03,0(0),2.73,0(0)
acf28404e5be8c6245093073cbb687dff053f082,329.11,84043(18),4.96,0(0),3.06,0(0),4.82,0(0),3.99,0(0)
b4bf255b08256a289b9bf8b3258dd8607b7d17a3,336.81,84043(18),4.28,0(0),10.44,0(0),8.56,0(0),13.17,0(0)
25c4d91227e8a2295cb277f3c8af9ce27ef5864d,333.32,84043(18),2.81,0(0),2.82,0(0),2.85,0(0),2.81,0(0)
f57b1a72121244edb8e60acc00345249bf3100d5,330.67,84043(18),7.1,0(0),9.89,0(0),4.92,0(0),5.51,0(0)
28def0e69a8bd28320d18b90ec0829ce41cd87a0,332.3,84043(18),2.82,0(0),2.96,0(0),2.8,0(0),2.89,0(0)
1d6540ab553365042e8169abb042fb10c9692daa,323.3,84043(18),2.72,0(0),2.81,0(0),3.94,0(0),2.72,0(0)
bfc1575b344e30f20ea2f2c0a472506e8f4a8872,336.4,84043(18),5.29,0(0),2.82,0(0),2.76,0(0),2.77,0(0)
2ba0d4150188648350a9e15a2de61e37cf9d7e07,331.06,84043(18),2.78,0(0),2.88,0(0),4.82,0(0),2.76,0(0)
1d3bff533db5fc93703bc696012716930ffbf83f,332.16,84043(18),3.93,0(0),2.87,0(0),2.8,0(0),2.77,0(0)
540cfa221c96543f7c0eb9a2793451fdf89ab501,330.64,84043(18),3.79,0(0),3.71,0(0),2.79,0(0),3.05,0(0)
2d5148912798a17aac72f9c8c1f8bb9a780b9c71,349.34,84043(18),2.9,0(0),3.23,0(0),2.87,0(0),2.86,0(0)
ace26e3a4a0f7509e1d40061cc6d3b80a0f25152,335.29,84043(18),2.82,0(0),2.89,0(0),2.77,0(0),2.65,0(0)
d79c17f0732ca53c5101a70039b8e4ab6f964b6a,332.11,84043(18),2.73,0(0),7.65,0(0),2.75,0(0),2.79,0(0)
f1da3d62dbdab20654b63da91510c51a32e8b8a8,342.34,84043(18),3.96,0(0),5.36,0(0),2.85,0(0),3.6,0(0)
dictomaton,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
137b391bd3d38b3e44b653612777216f78eeb12f,9.29,0(0),34.23,0(0),18.9,0(0),16.52,0(0),13.12,0(0)
cfceaed391e6500f627523b443f1cf7be0ff2099,152.21,763(24),162.14,763(24),117.19,109(24),161.77,763(24),118.05,173(24)
fb9290856068cf17681661a6f997192cdbf11f71,140.67,763(24),4.19,0(0),5.12,0(0),4.65,0(0),5.37,0(0)
1d977aee528409773ecd100e2e3cd282ecc33d10,133.58,763(24),8.65,0(0),3.89,0(0),4.69,0(0),4.37,0(0)
daf0dd6724a9528ccbc7c45f28e129b31ec4cdee,133.92,763(24),4.24,0(0),4.32,0(0),7.52,0(0),4.57,0(0)
1c0cf998bd36a4d1ddfb5aad608ed68e9b435fb8,137.26,763(24),16.43,0(0),8.08,0(0),11.38,0(0),5.47,0(0)
220802a0ea364f4eae106f115c02b2d1013333b4,132.26,763(24),151.66,763(24),127.7,119(24),135.11,13(4),112.37,11(4)
1f94f233d2aeabb67857130cdd4fc5538f0618e8,132.6,763(24),7.71,0(0),6.33,0(0),4.82,0(0),3.63,0(0)
637fce162a99690bcc6ee71f6de0eab6db938634,134.96,763(24),3.73,0(0),3.31,0(0),3.19,0(0),3.87,0(0)
b8d8f9fca3fa2d7933b5e7beb8e340f80c6a4235,135.94,763(24),20.48,0(0),4.89,0(0),4.75,0(0),4.7,0(0)
af6d9325aa6dc75be1d7b2cfd0951f6b9fa781ea,132.6,763(24),151.32,763(24),122.36,111(24),50.91,13(4),45.19,13(4)
c3d1b52c1e3db351b4ba3981f8d6f3aad80d3f9e,135,763(24),131.23,763(24),103.82,103(24),91.86,13(4),72.48,13(4)
100709155841df514f391f6b7589d89475bd0626,134.78,763(24),134.21,763(24),114.98,115(24),50.44,13(4),44.31,13(4)
3e3d47408fe6364596b77d9b4120d1a3c56625de,134.65,763(24),138.06,763(24),104.8,132(24),43.49,13(4),38.26,13(4)
68163246035f8aef9971e7914e3d261fe5ac37dd,136.27,763(24),128.45,763(24),104.86,107(24),44.11,13(4),37.81,13(4)
b23b48ba03ec43c0ce2ef1be85c0cbb8203a87b2,135.22,763(24),7.42,0(0),7.36,0(0),6.83,0(0),6.32,0(0)
osm-lib,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
3e69d214d131b1d89e5d5fb28100635512dc1138,101.05,4262571(4),99.39,4262571(4),66.13,4(4),85.74,4262571(4),84.43,4(4)
